ID,Local,KM,Estaca,Categoria,Disciplina,Responsável,Status,Termino_Prev,Status_Prazo,Classificacao_Escopo,Exibir_Dashboard,Pendência,Observações,Status_Executivo,Cor_Web,Tag_Web,Prioridade
PL-01,UTM II,KM 0,E0,Interligação,Mecânica,CCPS,Concluído,05/30/2026,Concluído,Executar,SIM,Rejeitoduto Interligação com UTM II - Biselado,Finalizado,OK,#2e7d32,OK,3
PL-02,UTM II,KM 0,E0,Interligação,Mecânica,UTM II,Em Andamento,06/18/2026,Planejado,Executar,SIM,Rejeitoduto Interligação com UTM II - Flangeado,Soldar junta de isolamento - avaliar com time da UTM 2,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-03,UTM II,KM 0,E0,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Mineroduto Interligação com UTM II - Biselado,Soldar junta de isolamento - avaliar com time da UTM 2,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-04,UTM II,KM 0,E0,Interligação,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Mineroduto Inteligação com UTM II - Flangeado,Substituição do tubo danificado.,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-05,Rejeitoduto,KM 0,E0 - E50,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Revestimento de 51 juntas (recuperação),"Retrabalha em execução no KM 4 | Realizado 14, faltam 8 Galpão de testemunha (conclusão km 04) - TOTAL DE JUNTA: 165",MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-06,-,KM 0,E03,Fechamento,Mecânica,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Substitução do tubo danificado,Chegada tubo 29/05,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-07,MRS,KM 0,E11 - E13,Telecom,Telecom,CCPS,Em Andamento,06/18/2026,Planejado,Executar,SIM,Lançamento de microduto dentro da travessia,Aprox. 40m,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-08,MRS,KM 0,E11 - E13,Fechamento,Mecânica,CCPS,Não Iniciado,,Sem Planejamento,Fora_escopo,SIM,Suportação das linhas na entrada e na saida da treliça,Avaliação de projeto Ausenco,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-09,Curva Gomada,KM 0,E24-32,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Sobrecobertura - 1 metro,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
PL-10,-,KM 0,E4,Civil,Civil,CCPS,Não iniciado,,Sem Planejamento,Fora_escopo,SIM,Recomposição de canaleta de drenagem - área 7,Sem restrição,MONITORAMENTO,#0f2f4a,MONITORAMENTO,1
